x;y;
-1.600000;1.560000;
-1.599650;1.558880;
-1.599300;1.557760;
-1.598950;1.556641;
-1.598600;1.555522;
-1.598250;1.554403;
-1.597900;1.553284;
-1.597550;1.552166;
-1.597200;1.551048;
-1.596850;1.549930;
-1.596500;1.548812;
-1.596150;1.547695;
-1.595800;1.546578;
-1.595450;1.545461;
-1.595100;1.544344;
-1.594750;1.543228;
-1.594400;1.542111;
-1.594050;1.540995;
-1.593700;1.539880;
-1.593350;1.538764;
-1.593000;1.537649;
-1.592650;1.536534;
-1.592300;1.535419;
-1.591950;1.534305;
-1.591600;1.533191;
-1.591250;1.532077;
-1.590900;1.530963;
-1.590550;1.529849;
-1.590200;1.528736;
-1.589850;1.527623;
-1.589500;1.526510;
-1.589150;1.525398;
-1.588800;1.524285;
-1.588450;1.523173;
-1.588100;1.522062;
-1.587750;1.520950;
-1.587400;1.519839;
-1.587050;1.518728;
-1.586700;1.517617;
-1.586350;1.516506;
-1.586000;1.515396;
-1.585650;1.514286;
-1.585300;1.513176;
-1.584950;1.512067;
-1.584600;1.510957;
-1.584250;1.509848;
-1.583900;1.508739;
-1.583550;1.507631;
-1.583200;1.506522;
-1.582850;1.505414;
-1.582500;1.504306;
-1.582150;1.503199;
-1.581800;1.502091;
-1.581450;1.500984;
-1.581100;1.499877;
-1.580750;1.498771;
-1.580400;1.497664;
-1.580050;1.496558;
-1.579700;1.495452;
-1.579350;1.494346;
-1.579000;1.493241;
-1.578650;1.492136;
-1.578300;1.491031;
-1.577950;1.489926;
-1.577600;1.488822;
-1.577250;1.487718;
-1.576900;1.486614;
-1.576550;1.485510;
-1.576200;1.484406;
-1.575850;1.483303;
-1.575500;1.482200;
-1.575150;1.481098;
-1.574800;1.479995;
-1.574450;1.478893;
-1.574100;1.477791;
-1.573750;1.476689;
-1.573400;1.475588;
-1.573050;1.474486;
-1.572700;1.473385;
-1.572350;1.472285;
-1.572000;1.471184;
-1.571650;1.470084;
-1.571300;1.468984;
-1.570950;1.467884;
-1.570600;1.466784;
-1.570250;1.465685;
-1.569900;1.464586;
-1.569550;1.463487;
-1.569200;1.462389;
-1.568850;1.461290;
-1.568500;1.460192;
-1.568150;1.459094;
-1.567800;1.457997;
-1.567450;1.456900;
-1.567100;1.455802;
-1.566750;1.454706;
-1.566400;1.453609;
-1.566050;1.452513;
-1.565700;1.451416;
-1.565350;1.450321;
-1.565000;1.449225;
-1.564650;1.448130;
-1.564300;1.447034;
-1.563950;1.445940;
-1.563600;1.444845;
-1.563250;1.443751;
-1.562900;1.442656;
-1.562550;1.441563;
-1.562200;1.440469;
-1.561850;1.439375;
-1.561500;1.438282;
-1.561150;1.437189;
-1.560800;1.436097;
-1.560450;1.435004;
-1.560100;1.433912;
-1.559750;1.432820;
-1.559400;1.431728;
-1.559050;1.430637;
-1.558700;1.429546;
-1.558350;1.428455;
-1.558000;1.427364;
-1.557650;1.426274;
-1.557300;1.425183;
-1.556950;1.424093;
-1.556600;1.423004;
-1.556250;1.421914;
-1.555900;1.420825;
-1.555550;1.419736;
-1.555200;1.418647;
-1.554850;1.417559;
-1.554500;1.416470;
-1.554150;1.415382;
-1.553800;1.414294;
-1.553450;1.413207;
-1.553100;1.412120;
-1.552750;1.411033;
-1.552400;1.409946;
-1.552050;1.408859;
-1.551700;1.407773;
-1.551350;1.406687;
-1.551000;1.405601;
-1.550650;1.404515;
-1.550300;1.403430;
-1.549950;1.402345;
-1.549600;1.401260;
-1.549250;1.400176;
-1.548900;1.399091;
-1.548550;1.398007;
-1.548200;1.396923;
-1.547850;1.395840;
-1.547500;1.394756;
-1.547150;1.393673;
-1.546800;1.392590;
-1.546450;1.391508;
-1.546100;1.390425;
-1.545750;1.389343;
-1.545400;1.388261;
-1.545050;1.387180;
-1.544700;1.386098;
-1.544350;1.385017;
-1.544000;1.383936;
-1.543650;1.382855;
-1.543300;1.381775;
-1.542950;1.380695;
-1.542600;1.379615;
-1.542250;1.378535;
-1.541900;1.377456;
-1.541550;1.376376;
-1.541200;1.375297;
-1.540850;1.374219;
-1.540500;1.373140;
-1.540150;1.372062;
-1.539800;1.370984;
-1.539450;1.369906;
-1.539100;1.368829;
-1.538750;1.367752;
-1.538400;1.366675;
-1.538050;1.365598;
-1.537700;1.364521;
-1.537350;1.363445;
-1.537000;1.362369;
-1.536650;1.361293;
-1.536300;1.360218;
-1.535950;1.359142;
-1.535600;1.358067;
-1.535250;1.356993;
-1.534900;1.355918;
-1.534550;1.354844;
-1.534200;1.353770;
-1.533850;1.352696;
-1.533500;1.351622;
-1.533150;1.350549;
-1.532800;1.349476;
-1.532450;1.348403;
-1.532100;1.347330;
-1.531750;1.346258;
-1.531400;1.345186;
-1.531050;1.344114;
-1.530700;1.343042;
-1.530350;1.341971;
-1.530000;1.340900;
-1.529650;1.339829;
-1.529300;1.338758;
-1.528950;1.337688;
-1.528600;1.336618;
-1.528250;1.335548;
-1.527900;1.334478;
-1.527550;1.333409;
-1.527200;1.332340;
-1.526850;1.331271;
-1.526500;1.330202;
-1.526150;1.329134;
-1.525800;1.328066;
-1.525450;1.326998;
-1.525100;1.325930;
-1.524750;1.324863;
-1.524400;1.323795;
-1.524050;1.322728;
-1.523700;1.321662;
-1.523350;1.320595;
-1.523000;1.319529;
-1.522650;1.318463;
-1.522300;1.317397;
-1.521950;1.316332;
-1.521600;1.315267;
-1.521250;1.314202;
-1.520900;1.313137;
-1.520550;1.312072;
-1.520200;1.311008;
-1.519850;1.309944;
-1.519500;1.308880;
-1.519150;1.307817;
-1.518800;1.306753;
-1.518450;1.305690;
-1.518100;1.304628;
-1.517750;1.303565;
-1.517400;1.302503;
-1.517050;1.301441;
-1.516700;1.300379;
-1.516350;1.299317;
-1.516000;1.298256;
-1.515650;1.297195;
-1.515300;1.296134;
-1.514950;1.295074;
-1.514600;1.294013;
-1.514250;1.292953;
-1.513900;1.291893;
-1.513550;1.290834;
-1.513200;1.289774;
-1.512850;1.288715;
-1.512500;1.287656;
-1.512150;1.286598;
-1.511800;1.285539;
-1.511450;1.284481;
-1.511100;1.283423;
-1.510750;1.282366;
-1.510400;1.281308;
-1.510050;1.280251;
-1.509700;1.279194;
-1.509350;1.278137;
-1.509000;1.277081;
-1.508650;1.276025;
-1.508300;1.274969;
-1.507950;1.273913;
-1.507600;1.272858;
-1.507250;1.271803;
-1.506900;1.270748;
-1.506550;1.269693;
-1.506200;1.268638;
-1.505850;1.267584;
-1.505500;1.266530;
-1.505150;1.265477;
-1.504800;1.264423;
-1.504450;1.263370;
-1.504100;1.262317;
-1.503750;1.261264;
-1.503400;1.260212;
-1.503050;1.259159;
-1.502700;1.258107;
-1.502350;1.257056;
-1.502000;1.256004;
-1.501650;1.254953;
-1.501300;1.253902;
-1.500950;1.252851;
-1.500600;1.251800;
-1.500250;1.250750;
-1.499900;1.249700;
-1.499550;1.248650;
-1.499200;1.247601;
-1.498850;1.246551;
-1.498500;1.245502;
-1.498150;1.244453;
-1.497800;1.243405;
-1.497450;1.242357;
-1.497100;1.241308;
-1.496750;1.240261;
-1.496400;1.239213;
-1.496050;1.238166;
-1.495700;1.237118;
-1.495350;1.236072;
-1.495000;1.235025;
-1.494650;1.233979;
-1.494300;1.232932;
-1.493950;1.231887;
-1.493600;1.230841;
-1.493250;1.229796;
-1.492900;1.228750;
-1.492550;1.227706;
-1.492200;1.226661;
-1.491850;1.225616;
-1.491500;1.224572;
-1.491150;1.223528;
-1.490800;1.222485;
-1.490450;1.221441;
-1.490100;1.220398;
-1.489750;1.219355;
-1.489400;1.218312;
-1.489050;1.217270;
-1.488700;1.216228;
-1.488350;1.215186;
-1.488000;1.214144;
-1.487650;1.213103;
-1.487300;1.212061;
-1.486950;1.211020;
-1.486600;1.209980;
-1.486250;1.208939;
-1.485900;1.207899;
-1.485550;1.206859;
-1.485200;1.205819;
-1.484850;1.204780;
-1.484500;1.203740;
-1.484150;1.202701;
-1.483800;1.201662;
-1.483450;1.200624;
-1.483100;1.199586;
-1.482750;1.198548;
-1.482400;1.197510;
-1.482050;1.196472;
-1.481700;1.195435;
-1.481350;1.194398;
-1.481000;1.193361;
-1.480650;1.192324;
-1.480300;1.191288;
-1.479950;1.190252;
-1.479600;1.189216;
-1.479250;1.188181;
-1.478900;1.187145;
-1.478550;1.186110;
-1.478200;1.185075;
-1.477850;1.184041;
-1.477500;1.183006;
-1.477150;1.181972;
-1.476800;1.180938;
-1.476450;1.179905;
-1.476100;1.178871;
-1.475750;1.177838;
-1.475400;1.176805;
-1.475050;1.175773;
-1.474700;1.174740;
-1.474350;1.173708;
-1.474000;1.172676;
-1.473650;1.171644;
-1.473300;1.170613;
-1.472950;1.169582;
-1.472600;1.168551;
-1.472250;1.167520;
-1.471900;1.166490;
-1.471550;1.165459;
-1.471200;1.164429;
-1.470850;1.163400;
-1.470500;1.162370;
-1.470150;1.161341;
-1.469800;1.160312;
-1.469450;1.159283;
-1.469100;1.158255;
-1.468750;1.157227;
-1.468400;1.156199;
-1.468050;1.155171;
-1.467700;1.154143;
-1.467350;1.153116;
-1.467000;1.152089;
-1.466650;1.151062;
-1.466300;1.150036;
-1.465950;1.149009;
-1.465600;1.147983;
-1.465250;1.146958;
-1.464900;1.145932;
-1.464550;1.144907;
-1.464200;1.143882;
-1.463850;1.142857;
-1.463500;1.141832;
-1.463150;1.140808;
-1.462800;1.139784;
-1.462450;1.138760;
-1.462100;1.137736;
-1.461750;1.136713;
-1.461400;1.135690;
-1.461050;1.134667;
-1.460700;1.133644;
-1.460350;1.132622;
-1.460000;1.131600;
-1.459650;1.130578;
-1.459300;1.129556;
-1.458950;1.128535;
-1.458600;1.127514;
-1.458250;1.126493;
-1.457900;1.125472;
-1.457550;1.124452;
-1.457200;1.123432;
-1.456850;1.122412;
-1.456500;1.121392;
-1.456150;1.120373;
-1.455800;1.119354;
-1.455450;1.118335;
-1.455100;1.117316;
-1.454750;1.116298;
-1.454400;1.115279;
-1.454050;1.114261;
-1.453700;1.113244;
-1.453350;1.112226;
-1.453000;1.111209;
-1.452650;1.110192;
-1.452300;1.109175;
-1.451950;1.108159;
-1.451600;1.107143;
-1.451250;1.106127;
-1.450900;1.105111;
-1.450550;1.104095;
-1.450200;1.103080;
-1.449850;1.102065;
-1.449500;1.101050;
-1.449150;1.100036;
-1.448800;1.099021;
-1.448450;1.098007;
-1.448100;1.096994;
-1.447750;1.095980;
-1.447400;1.094967;
-1.447050;1.093954;
-1.446700;1.092941;
-1.446350;1.091928;
-1.446000;1.090916;
-1.445650;1.089904;
-1.445300;1.088892;
-1.444950;1.087881;
-1.444600;1.086869;
-1.444250;1.085858;
-1.443900;1.084847;
-1.443550;1.083837;
-1.443200;1.082826;
-1.442850;1.081816;
-1.442500;1.080806;
-1.442150;1.079797;
-1.441800;1.078787;
-1.441450;1.077778;
-1.441100;1.076769;
-1.440750;1.075761;
-1.440400;1.074752;
-1.440050;1.073744;
-1.439700;1.072736;
-1.439350;1.071728;
-1.439000;1.070721;
-1.438650;1.069714;
-1.438300;1.068707;
-1.437950;1.067700;
-1.437600;1.066694;
-1.437250;1.065688;
-1.436900;1.064682;
-1.436550;1.063676;
-1.436200;1.062670;
-1.435850;1.061665;
-1.435500;1.060660;
-1.435150;1.059656;
-1.434800;1.058651;
-1.434450;1.057647;
-1.434100;1.056643;
-1.433750;1.055639;
-1.433400;1.054636;
-1.433050;1.053632;
-1.432700;1.052629;
-1.432350;1.051627;
-1.432000;1.050624;
-1.431650;1.049622;
-1.431300;1.048620;
-1.430950;1.047618;
-1.430600;1.046616;
-1.430250;1.045615;
-1.429900;1.044614;
-1.429550;1.043613;
-1.429200;1.042613;
-1.428850;1.041612;
-1.428500;1.040612;
-1.428150;1.039612;
-1.427800;1.038613;
-1.427450;1.037614;
-1.427100;1.036614;
-1.426750;1.035616;
-1.426400;1.034617;
-1.426050;1.033619;
-1.425700;1.032620;
-1.425350;1.031623;
-1.425000;1.030625;
-1.424650;1.029628;
-1.424300;1.028630;
-1.423950;1.027634;
-1.423600;1.026637;
-1.423250;1.025641;
-1.422900;1.024644;
-1.422550;1.023649;
-1.422200;1.022653;
-1.421850;1.021657;
-1.421500;1.020662;
-1.421150;1.019667;
-1.420800;1.018673;
-1.420450;1.017678;
-1.420100;1.016684;
-1.419750;1.015690;
-1.419400;1.014696;
-1.419050;1.013703;
-1.418700;1.012710;
-1.418350;1.011717;
-1.418000;1.010724;
-1.417650;1.009732;
-1.417300;1.008739;
-1.416950;1.007747;
-1.416600;1.006756;
-1.416250;1.005764;
-1.415900;1.004773;
-1.415550;1.003782;
-1.415200;1.002791;
-1.414850;1.001801;
-1.414500;1.000810;
-1.414150;0.999820;
-1.413800;0.998830;
-1.413450;0.997841;
-1.413100;0.996852;
-1.412750;0.995863;
-1.412400;0.994874;
-1.412050;0.993885;
-1.411700;0.992897;
-1.411350;0.991909;
-1.411000;0.990921;
-1.410650;0.989933;
-1.410300;0.988946;
-1.409950;0.987959;
-1.409600;0.986972;
-1.409250;0.985986;
-1.408900;0.984999;
-1.408550;0.984013;
-1.408200;0.983027;
-1.407850;0.982042;
-1.407500;0.981056;
-1.407150;0.980071;
-1.406800;0.979086;
-1.406450;0.978102;
-1.406100;0.977117;
-1.405750;0.976133;
-1.405400;0.975149;
-1.405050;0.974166;
-1.404700;0.973182;
-1.404350;0.972199;
-1.404000;0.971216;
-1.403650;0.970233;
-1.403300;0.969251;
-1.402950;0.968269;
-1.402600;0.967287;
-1.402250;0.966305;
-1.401900;0.965324;
-1.401550;0.964342;
-1.401200;0.963361;
-1.400850;0.962381;
-1.400500;0.961400;
-1.400150;0.960420;
-1.399800;0.959440;
-1.399450;0.958460;
-1.399100;0.957481;
-1.398750;0.956502;
-1.398400;0.955523;
-1.398050;0.954544;
-1.397700;0.953565;
-1.397350;0.952587;
-1.397000;0.951609;
-1.396650;0.950631;
-1.396300;0.949654;
-1.395950;0.948676;
-1.395600;0.947699;
-1.395250;0.946723;
-1.394900;0.945746;
-1.394550;0.944770;
-1.394200;0.943794;
-1.393850;0.942818;
-1.393500;0.941842;
-1.393150;0.940867;
-1.392800;0.939892;
-1.392450;0.938917;
-1.392100;0.937942;
-1.391750;0.936968;
-1.391400;0.935994;
-1.391050;0.935020;
-1.390700;0.934046;
-1.390350;0.933073;
-1.390000;0.932100;
-1.389650;0.931127;
-1.389300;0.930154;
-1.388950;0.929182;
-1.388600;0.928210;
-1.388250;0.927238;
-1.387900;0.926266;
-1.387550;0.925295;
-1.387200;0.924324;
-1.386850;0.923353;
-1.386500;0.922382;
-1.386150;0.921412;
-1.385800;0.920442;
-1.385450;0.919472;
-1.385100;0.918502;
-1.384750;0.917533;
-1.384400;0.916563;
-1.384050;0.915594;
-1.383700;0.914626;
-1.383350;0.913657;
-1.383000;0.912689;
-1.382650;0.911721;
-1.382300;0.910753;
-1.381950;0.909786;
-1.381600;0.908819;
-1.381250;0.907852;
-1.380900;0.906885;
-1.380550;0.905918;
-1.380200;0.904952;
-1.379850;0.903986;
-1.379500;0.903020;
-1.379150;0.902055;
-1.378800;0.901089;
-1.378450;0.900124;
-1.378100;0.899160;
-1.377750;0.898195;
-1.377400;0.897231;
-1.377050;0.896267;
-1.376700;0.895303;
-1.376350;0.894339;
-1.376000;0.893376;
-1.375650;0.892413;
-1.375300;0.891450;
-1.374950;0.890488;
-1.374600;0.889525;
-1.374250;0.888563;
-1.373900;0.887601;
-1.373550;0.886640;
-1.373200;0.885678;
-1.372850;0.884717;
-1.372500;0.883756;
-1.372150;0.882796;
-1.371800;0.881835;
-1.371450;0.880875;
-1.371100;0.879915;
-1.370750;0.878956;
-1.370400;0.877996;
